Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;DreamNumber
2024-12-30;8;15;21;24;31;40;3
2024-12-26;2;7;11;21;34;38;4
2024-12-23;2;9;13;16;30;37;5
2024-12-19;3;6;7;10;16;32;3
2024-12-16;7;15;23;24;30;34;2
2024-12-12;3;5;21;24;27;30;1
2024-12-09;10;16;17;23;26;35;3
2024-12-05;3;4;7;21;30;34;2
2024-12-02;1;7;14;19;25;36;2
2024-11-28;4;5;12;28;32;37;1
2024-11-25;1;7;10;11;23;26;1
2024-11-21;12;14;15;21;36;39;5
2024-11-18;8;13;21;22;28;33;4
2024-11-14;18;19;20;22;34;37;2
2024-11-11;5;7;24;26;29;35;1
2024-11-07;4;15;17;21;25;34;1
2024-11-04;16;18;30;33;34;37;1
2024-10-31;1;6;8;9;29;30;4
2024-10-28;7;8;13;15;27;33;5
2024-10-24;3;6;7;20;26;34;5
2024-10-21;7;9;14;31;36;38;4
2024-10-17;6;15;22;26;33;37;1
2024-10-14;3;10;12;17;31;37;3
2024-10-10;8;9;15;27;30;34;3
2024-10-07;4;14;24;28;34;40;4
2024-10-03;3;6;14;24;38;40;5
2024-09-30;5;14;15;21;24;28;3
2024-09-26;9;19;21;31;32;39;2
2024-09-23;9;11;13;31;32;34;5
2024-09-19;1;3;25;27;30;35;3
2024-09-16;12;18;21;28;31;32;1
2024-09-12;16;27;31;34;38;39;1
2024-09-09;3;6;9;18;22;27;3
2024-09-05;8;19;24;31;32;40;2
2024-09-02;3;20;24;27;33;36;3
2024-08-29;3;4;14;22;24;36;4
2024-08-26;5;6;8;12;30;32;5
2024-08-22;1;11;16;26;28;40;5
2024-08-19;6;11;14;17;28;33;5
2024-08-15;6;14;20;34;38;40;3
2024-08-12;10;13;19;22;25;28;2
2024-08-08;2;8;9;17;21;22;2
2024-08-05;3;10;13;16;31;38;5
2024-08-01;1;6;23;27;33;34;5
2024-07-29;1;5;9;19;22;25;3
2024-07-25;3;16;18;27;30;37;4
2024-07-22;3;12;18;19;21;24;4
2024-07-18;8;22;28;31;38;40;1
2024-07-15;15;19;21;23;28;40;3
2024-07-11;5;19;20;24;28;30;4
2024-07-08;3;13;21;26;36;40;3
2024-07-04;4;8;22;23;27;33;3
2024-07-01;4;8;11;12;20;38;2
2024-06-27;9;13;15;18;27;37;2
2024-06-24;5;13;16;20;23;30;5
2024-06-20;1;2;7;13;19;21;5
2024-06-17;14;16;19;22;23;32;4
2024-06-13;17;19;21;22;23;27;1
2024-06-10;4;7;27;31;33;40;3
2024-06-06;12;15;24;28;29;31;1
2024-06-03;1;3;11;22;34;38;4
2024-05-30;4;10;11;17;24;39;5
2024-05-27;2;7;14;15;23;24;3
2024-05-23;7;8;13;14;23;31;1
2024-05-20;3;14;15;21;23;29;4
2024-05-16;8;9;14;18;23;24;3
2024-05-13;9;20;23;24;37;39;1
2024-05-09;6;7;13;14;24;33;1
2024-05-06;7;17;26;27;32;39;3
2024-05-02;4;10;16;17;26;30;1
2024-04-29;1;17;23;29;36;40;3
2024-04-25;2;16;19;23;24;25;1
2024-04-22;6;23;24;31;32;39;1
2024-04-18;4;13;16;18;28;30;2
2024-04-15;2;13;17;26;33;37;5
2024-04-11;17;19;22;30;35;37;1
2024-04-08;3;13;24;28;36;39;4
2024-04-04;9;10;12;14;20;31;5
2024-04-01;3;10;15;18;26;38;4
2024-03-28;1;7;9;13;18;37;3
2024-03-25;3;12;15;20;25;27;3
2024-03-21;3;8;27;30;33;37;2
2024-03-18;6;8;18;19;24;39;3
2024-03-14;3;12;13;20;27;35;2
2024-03-11;2;7;14;22;37;39;1
2024-03-07;13;15;23;31;35;39;1
2024-03-04;1;10;23;25;29;35;1
2024-02-29;10;11;21;31;38;40;1
2024-02-26;2;15;19;23;37;40;2
2024-02-22;2;8;10;20;24;39;4
2024-02-19;7;20;25;37;38;40;4
2024-02-15;3;5;8;14;16;21;1
2024-02-12;3;4;6;9;10;16;1
2024-02-08;2;19;22;26;36;40;4
2024-02-05;5;9;20;21;25;40;4
2024-02-01;6;12;15;28;33;35;3
2024-01-29;2;8;25;27;29;38;3
2024-01-25;1;2;3;22;26;27;1
2024-01-22;8;16;25;29;31;34;2
2024-01-18;8;16;19;23;30;40;5
2024-01-15;2;6;19;23;33;35;5
2024-01-11;5;7;24;29;31;38;2
2024-01-08;13;19;25;26;33;40;1
2024-01-04;15;21;22;29;30;39;1
2024-01-01;2;5;18;24;28;39;4
